iter	Logloss
0	0.6873717706
1	0.6816426648
2	0.6750962673
3	0.669403858
4	0.6621522973
5	0.6557216401
6	0.6506658601
7	0.6455411779
8	0.6402224283
9	0.6368838547
10	0.6321042152
11	0.6281919466
12	0.6240666568
13	0.6201714104
14	0.616323888
15	0.6130308669
16	0.6100223673
17	0.6057893295
18	0.6019581202
19	0.5984018862
20	0.5949868216
21	0.5911346138
22	0.5869516634
23	0.583564517
24	0.5803380755
25	0.5777945608
26	0.5752670828
27	0.5728116287
28	0.5703892909
29	0.5679913306
30	0.5659235158
31	0.5632785475
32	0.5603398835
33	0.5581879549
34	0.5552849623
35	0.5529960403
36	0.5503494795
37	0.5479751107
38	0.5457141671
39	0.5431679502
40	0.540628072
41	0.5391513432
42	0.536660507
43	0.5346119421
44	0.5327796132
45	0.5307379697
46	0.5286196335
47	0.5262447821
48	0.5239398307
49	0.5219644144
50	0.5204501423
51	0.5185635325
52	0.5167238173
53	0.5150799547
54	0.5134175034
55	0.5118172677
56	0.510491722
57	0.5087559621
58	0.507171139
59	0.5058939978
60	0.504033465
61	0.5026737441
62	0.5012481051
63	0.4999418437
64	0.4984137565
65	0.4971194402
66	0.4951859233
67	0.4934062599
68	0.4918740372
69	0.4898224945
70	0.4882631228
71	0.4870352265
72	0.4855921459
73	0.4844392639
74	0.4829715133
75	0.4814789182
76	0.480986113
77	0.4797897567
78	0.4790287672
79	0.4774395032
80	0.4758158852
81	0.4742712677
82	0.472700262
83	0.4711435359
84	0.4703443979
85	0.4691174923
86	0.4676811402
87	0.4669237017
88	0.465938218
89	0.4649063099
90	0.4638061806
91	0.4628254191
92	0.4615239587
93	0.4607209777
94	0.4597805921
95	0.4582240986
96	0.4570998659
97	0.4561612498
98	0.4553402814
99	0.4542218359
100	0.453037574
101	0.4520777424
102	0.4509456628
103	0.4496556291
104	0.4481356512
105	0.4472604723
106	0.4463763519
107	0.4453611908
108	0.4440470832
109	0.442704172
110	0.4416109537
111	0.4402050728
112	0.4388775665
113	0.4381108892
114	0.4374304837
115	0.4365705446
116	0.4357856993
117	0.4343472046
118	0.43333279
119	0.4322995799
120	0.4313035952
121	0.4301939693
122	0.4288249956
123	0.427698141
124	0.426887615
125	0.4259458659
126	0.4250851043
127	0.4241382203
128	0.423015162
129	0.4224249266
130	0.4218777365
131	0.421036734
132	0.4203685399
133	0.4195669125
134	0.41847024
135	0.4175742952
136	0.4165679027
137	0.4158203903
138	0.4148542047
139	0.413862241
140	0.41295977
141	0.4119846182
142	0.4111471596
143	0.4102823834
144	0.4092427734
145	0.4084145732
146	0.4076773972
147	0.4071132175
148	0.4062226336
149	0.4054803246
150	0.4047100031
151	0.4039393745
152	0.4029277336
153	0.4021993337
154	0.4012939447
155	0.4004250899
156	0.3997194152
157	0.398929386
158	0.3983682082
159	0.397954338
160	0.3974895435
161	0.3965882447
162	0.3962020778
